date,open,high,low,close,volume,dividends,stock_splits,change,percent_change,market_cap
2020-12-01,597.59,597.85,572.05,584.76,40382800,0,0,,,23614.2
2020-12-02,556.44,571.54,541.21,568.82,47775700,0,0,-15.94,-0.0273,27175.8
2020-12-03,590.02,598.97,582.43,593.38,42552000,0,0,24.56,0.0432,25249.5
2020-12-04,591.01,599.04,585.5,599.04,29401300,0,0,5.66,0.0095,17612.6
2020-12-07,604.92,648.79,603.05,641.76,56309700,0,0,42.72,0.0713,36137.3
2020-12-08,625.51,651.28,618.5,649.88,64265000,0,0,8.12,0.0127,41764.5
2020-12-09,653.69,654.32,588.0,604.48,71291200,0,0,-45.4,-0.0699,43094.1
2020-12-10,574.37,627.75,566.34,627.07,67083200,0,0,22.59,0.0374,42065.9
2020-12-11,615.01,624.0,596.8,609.99,46475000,0,0,-17.08,-0.0272,28349.3
2020-12-14,619.0,642.75,610.2,639.83,52040600,0,0,29.84,0.0489,33297.1
2020-12-15,643.28,646.9,623.8,633.25,45223600,0,0,-6.58,-0.0103,28637.8
2020-12-16,628.23,632.5,605.0,622.77,42095800,0,0,-10.48,-0.0165,26216.0
2020-12-17,628.19,658.82,619.5,655.9,56270100,0,0,33.13,0.0532,36907.6
2020-12-18,668.9,695.0,628.54,695.0,222126200,0,0,39.1,0.0596,154377.7
2020-12-21,666.24,668.5,646.07,649.86,58045300,0,0,-45.14,-0.0649,37721.3
2020-12-22,648.0,649.88,614.23,640.34,51716000,0,0,-9.52,-0.0146,33115.8
